invoice_id,vendor,department,invoice_type,amount,submitted_date,due_date,approved_date,approval_days,payment_terms_days,has_purchase_order,duplicate_flag,vendor_delay_history,sla_breached,risk_level,risk_reason,next_best_action
INV-00016,CloudBridge Ltd,Finance,Logistics,14836.72,2025-03-07,2025-04-06,2025-03-09,2,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00017,GreenLogix,IT,Security Service,22780.32,2025-06-09,2025-07-09,2025-06-21,12,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00018,Alpha Consulting,Finance,Consulting Service,7128.57,2025-10-29,2025-11-13,2025-11-04,6,15,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00019,TechNova Solutions,IT,Software License,27209.89,2025-02-06,2025-03-23,2025-02-20,14,45,True,False,False,True,Medium,SLA approval deadline exceeded,Request additional validation
INV-00020,DataCore Systems,Risk Management,Security Service,17498.24,2025-07-28,2025-09-26,2025-08-01,4,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00021,GreenLogix,Operations,Office Supplies,25983.18,2025-02-01,2025-02-16,2025-02-02,1,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00022,FinEdge Services,IT,Consulting Service,16320.43,2025-04-04,2025-06-03,2025-04-07,3,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00023,Alpha Consulting,HR,Software License,1992.36,2025-02-17,2025-03-04,2025-02-26,9,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00024,Alpha Consulting,Operations,Consulting Service,26007.19,2025-03-26,2025-04-10,2025-04-10,15,15,True,False,False,True,Medium,SLA approval deadline exceeded,Request additional validation
INV-00025,Alpha Consulting,Procurement,Office Supplies,21049.45,2025-03-21,2025-05-20,2025-04-02,12,60,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00026,TechNova Solutions,Risk Management,Cloud Infrastructure,2186.38,2025-09-15,2025-11-14,2025-09-25,10,60,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00027,CloudBridge Ltd,IT,Software License,18053.54,2025-07-26,2025-08-25,2025-08-06,11,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00028,TechNova Solutions,HR,Software License,12867.14,2025-05-14,2025-06-28,2025-05-24,10,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00029,GreenLogix,IT,Logistics,19542.27,2025-02-07,2025-03-24,2025-02-15,8,45,False,False,False,False,Medium,Missing purchase order,Request missing information
INV-00030,CloudBridge Ltd,Finance,Security Service,6788.05,2025-06-28,2025-07-28,2025-07-03,5,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00031,DataCore Systems,Operations,Security Service,21254.43,2025-10-11,2025-10-26,2025-10-21,10,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00032,DataCore Systems,Procurement,Software License,26746.52,2025-05-20,2025-06-19,2025-06-01,12,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00033,OfficePlus Group,HR,Office Supplies,7908.08,2025-02-17,2025-03-04,2025-03-04,15,15,True,False,True,True,High,Vendor delay history with SLA breach,Send for manual review
INV-00034,NetSecure Inc,IT,Logistics,29404.04,2025-10-10,2025-12-09,2025-10-13,3,60,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00035,DataCore Systems,HR,Software License,25120.55,2025-08-09,2025-09-08,2025-08-19,10,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00036,TechNova Solutions,Procurement,Consulting Service,20620.97,2025-07-01,2025-07-16,2025-07-12,11,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00037,DataCore Systems,IT,Consulting Service,29298.08,2025-07-31,2025-08-30,2025-08-13,13,30,False,False,False,True,High,High amount with missing purchase order,Send for manual review
INV-00038,GreenLogix,Risk Management,Logistics,24417.1,2025-02-25,2025-03-27,2025-03-02,5,30,True,True,False,False,High,Duplicate invoice detected,Escalate to manager
INV-00039,FinEdge Services,Operations,Cloud Infrastructure,9503.13,2025-04-25,2025-05-25,2025-05-08,13,30,False,False,False,True,Medium,Missing purchase order,Request missing information
INV-00040,CloudBridge Ltd,Procurement,Cloud Infrastructure,19423.71,2025-01-15,2025-03-01,2025-01-22,7,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00041,OfficePlus Group,Finance,Software License,18098.85,2025-08-12,2025-09-26,2025-08-18,6,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00042,FinEdge Services,Procurement,Software License,21409.17,2025-07-06,2025-08-05,2025-07-07,1,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00043,NetSecure Inc,Risk Management,Software License,21732.75,2025-07-29,2025-09-12,2025-08-03,5,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00044,FinEdge Services,Operations,Logistics,28240.73,2025-11-12,2025-12-12,2025-11-23,11,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00045,OfficePlus Group,Procurement,Consulting Service,13181.7,2025-08-27,2025-10-11,2025-09-06,10,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00046,DataCore Systems,Risk Management,Software License,8871.7,2025-02-17,2025-04-03,2025-02-28,11,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00047,FinEdge Services,IT,Consulting Service,1220.55,2025-11-09,2026-01-08,2025-11-13,4,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00048,FinEdge Services,Risk Management,Logistics,11827.36,2025-03-17,2025-04-16,2025-03-24,7,30,True,True,False,False,High,Duplicate invoice detected,Escalate to manager
INV-00049,CloudBridge Ltd,Operations,Consulting Service,5688.66,2025-01-26,2025-03-27,2025-02-07,12,60,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00050,DataCore Systems,Operations,Logistics,16168.39,2025-08-15,2025-09-29,2025-08-24,9,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00051,Alpha Consulting,IT,Logistics,25914.1,2025-05-07,2025-06-21,2025-05-15,8,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00052,Alpha Consulting,Risk Management,Consulting Service,8600.62,2025-05-01,2025-06-15,2025-05-03,2,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00053,DataCore Systems,IT,Consulting Service,11799.54,2025-02-02,2025-03-04,2025-02-05,3,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00054,TechNova Solutions,IT,Office Supplies,11989.57,2025-10-22,2025-11-06,2025-11-04,13,15,True,True,False,True,High,Duplicate invoice detected,Escalate to manager
INV-00055,GreenLogix,Operations,Security Service,22551.71,2025-09-07,2025-10-07,2025-09-16,9,30,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00056,NetSecure Inc,Risk Management,Logistics,24045.2,2025-08-28,2025-09-27,2025-09-09,12,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00057,GreenLogix,HR,Security Service,20058.49,2025-03-11,2025-05-10,2025-03-13,2,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00058,NetSecure Inc,IT,Office Supplies,10141.95,2025-05-23,2025-07-22,2025-06-05,13,60,True,False,False,True,Medium,SLA approval deadline exceeded,Request additional validation
INV-00059,CloudBridge Ltd,Operations,Software License,22596.22,2025-04-25,2025-06-09,2025-04-26,1,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00060,TechNova Solutions,IT,Consulting Service,25257.25,2025-05-03,2025-06-02,2025-05-13,10,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00061,FinEdge Services,Operations,Logistics,8059.19,2025-11-07,2025-12-07,2025-11-13,6,30,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00062,DataCore Systems,Procurement,Software License,17571.2,2025-10-22,2025-12-06,2025-11-06,15,45,True,False,False,True,Medium,SLA approval deadline exceeded,Request additional validation
INV-00063,FinEdge Services,Finance,Security Service,20873.13,2025-02-22,2025-03-24,2025-03-05,11,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00064,CloudBridge Ltd,HR,Software License,10742.51,2025-02-05,2025-03-22,2025-02-12,7,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00065,Alpha Consulting,Finance,Office Supplies,28843.23,2025-03-20,2025-05-19,2025-03-31,11,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00066,OfficePlus Group,HR,Security Service,23351.92,2025-10-31,2025-12-30,2025-11-08,8,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00067,CloudBridge Ltd,Procurement,Office Supplies,7693.97,2025-06-22,2025-08-21,2025-06-30,8,60,False,False,False,False,Medium,Missing purchase order,Request missing information
INV-00068,FinEdge Services,Procurement,Cloud Infrastructure,10540.0,2025-10-12,2025-11-26,2025-10-27,15,45,False,False,True,True,High,Vendor delay history with SLA breach,Send for manual review
INV-00069,GreenLogix,Operations,Security Service,22865.86,2025-11-27,2026-01-26,2025-12-09,12,60,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00070,OfficePlus Group,IT,Office Supplies,20907.72,2025-08-31,2025-10-15,2025-09-05,5,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00071,NetSecure Inc,Procurement,Logistics,13885.49,2025-04-29,2025-06-13,2025-05-04,5,45,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00072,DataCore Systems,IT,Consulting Service,22288.84,2025-02-21,2025-04-07,2025-02-26,5,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00073,OfficePlus Group,Finance,Logistics,16256.99,2025-01-28,2025-02-12,2025-02-02,5,15,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00074,Alpha Consulting,Finance,Software License,17434.89,2025-08-14,2025-10-13,2025-08-22,8,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00075,Alpha Consulting,Finance,Software License,12320.87,2025-03-19,2025-04-03,2025-03-21,2,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00076,FinEdge Services,Finance,Security Service,23051.08,2025-09-25,2025-10-25,2025-10-05,10,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00077,GreenLogix,Procurement,Security Service,18820.31,2025-04-17,2025-05-02,2025-04-27,10,15,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00078,FinEdge Services,IT,Security Service,2714.41,2025-08-19,2025-10-18,2025-08-20,1,60,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00079,OfficePlus Group,Risk Management,Cloud Infrastructure,21238.13,2025-04-30,2025-05-15,2025-05-08,8,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00080,FinEdge Services,Operations,Software License,16564.59,2025-05-17,2025-06-16,2025-05-28,11,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00081,OfficePlus Group,HR,Logistics,24815.09,2025-08-13,2025-09-27,2025-08-28,15,45,True,False,False,True,Medium,SLA approval deadline exceeded,Request additional validation
INV-00082,OfficePlus Group,HR,Security Service,15066.96,2025-08-10,2025-08-25,2025-08-12,2,15,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00083,FinEdge Services,Risk Management,Security Service,17820.13,2025-10-23,2025-12-07,2025-10-24,1,45,False,False,False,False,Medium,Missing purchase order,Request missing information
INV-00084,Alpha Consulting,Procurement,Consulting Service,29909.89,2025-02-16,2025-04-17,2025-02-23,7,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00085,CloudBridge Ltd,IT,Cloud Infrastructure,12643.53,2025-07-25,2025-09-08,2025-08-02,8,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00086,NetSecure Inc,Procurement,Cloud Infrastructure,3919.69,2025-09-21,2025-11-20,2025-10-04,13,60,True,True,False,True,High,Duplicate invoice detected,Escalate to manager
INV-00087,Alpha Consulting,Operations,Software License,6033.68,2025-11-17,2026-01-16,2025-11-23,6,60,True,True,False,False,High,Duplicate invoice detected,Escalate to manager
INV-00088,DataCore Systems,Procurement,Office Supplies,26484.98,2025-01-15,2025-01-30,2025-01-23,8,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00089,DataCore Systems,Procurement,Security Service,903.4,2025-04-26,2025-05-11,2025-05-03,7,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00090,CloudBridge Ltd,Risk Management,Consulting Service,15202.08,2025-09-18,2025-11-02,2025-09-30,12,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00091,Alpha Consulting,IT,Office Supplies,16762.32,2025-11-03,2025-12-03,2025-11-10,7,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00092,OfficePlus Group,Operations,Cloud Infrastructure,28060.33,2025-01-02,2025-02-16,2025-01-11,9,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00093,Alpha Consulting,IT,Office Supplies,16388.13,2025-10-10,2025-11-24,2025-10-16,6,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00094,FinEdge Services,Risk Management,Consulting Service,17368.03,2025-01-23,2025-03-24,2025-01-27,4,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00095,GreenLogix,Operations,Logistics,23875.61,2025-09-11,2025-10-11,2025-09-22,11,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00096,NetSecure Inc,Finance,Office Supplies,3441.5,2025-01-08,2025-03-09,2025-01-23,15,60,True,False,False,True,Medium,SLA approval deadline exceeded,Request additional validation
INV-00097,DataCore Systems,Finance,Office Supplies,23555.0,2025-11-16,2025-12-31,2025-11-21,5,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00098,GreenLogix,Procurement,Logistics,21702.16,2025-10-05,2025-12-04,2025-10-18,13,60,False,False,False,True,High,High amount with missing purchase order,Send for manual review
INV-00099,OfficePlus Group,IT,Logistics,3166.19,2025-08-16,2025-08-31,2025-08-18,2,15,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00100,NetSecure Inc,Finance,Cloud Infrastructure,11074.67,2025-05-06,2025-06-05,2025-05-13,7,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00101,DataCore Systems,IT,Software License,18480.01,2025-09-12,2025-10-12,2025-09-19,7,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00102,OfficePlus Group,Operations,Cloud Infrastructure,20171.8,2025-05-28,2025-07-27,2025-06-12,15,60,True,False,False,True,Medium,SLA approval deadline exceeded,Request additional validation
INV-00103,NetSecure Inc,HR,Cloud Infrastructure,19348.69,2025-08-22,2025-10-06,2025-08-29,7,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00104,Alpha Consulting,Finance,Consulting Service,11750.25,2025-06-01,2025-07-16,2025-06-07,6,45,False,False,False,False,Medium,Missing purchase order,Request missing information
INV-00105,TechNova Solutions,HR,Logistics,23460.19,2025-05-27,2025-07-26,2025-05-28,1,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00106,FinEdge Services,Risk Management,Consulting Service,18816.29,2025-11-18,2025-12-18,2025-11-29,11,30,False,False,True,False,Medium,Missing purchase order,Request missing information
INV-00107,Alpha Consulting,Finance,Security Service,11263.41,2025-06-01,2025-06-16,2025-06-04,3,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00108,NetSecure Inc,HR,Security Service,27447.87,2025-05-12,2025-06-11,2025-05-26,14,30,True,False,False,True,Medium,SLA approval deadline exceeded,Request additional validation
INV-00109,OfficePlus Group,Risk Management,Cloud Infrastructure,24224.86,2025-03-14,2025-03-29,2025-03-22,8,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00110,GreenLogix,HR,Cloud Infrastructure,3163.93,2025-05-16,2025-05-31,2025-05-23,7,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00111,OfficePlus Group,HR,Office Supplies,24761.31,2025-04-30,2025-05-15,2025-05-06,6,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00112,NetSecure Inc,HR,Consulting Service,19605.75,2025-06-04,2025-08-03,2025-06-15,11,60,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00113,TechNova Solutions,Procurement,Office Supplies,3925.55,2025-07-18,2025-08-17,2025-07-22,4,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00114,GreenLogix,HR,Logistics,21934.67,2025-02-20,2025-04-21,2025-03-07,15,60,True,False,False,True,Medium,SLA approval deadline exceeded,Request additional validation
INV-00115,OfficePlus Group,Finance,Logistics,11430.63,2025-05-01,2025-06-30,2025-05-09,8,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00116,NetSecure Inc,Finance,Office Supplies,8638.5,2025-02-16,2025-04-17,2025-02-18,2,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00117,TechNova Solutions,Finance,Cloud Infrastructure,7685.28,2025-02-05,2025-03-07,2025-02-08,3,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00118,FinEdge Services,Procurement,Consulting Service,23764.99,2025-05-22,2025-06-06,2025-06-01,10,15,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00119,OfficePlus Group,IT,Software License,20001.2,2025-01-08,2025-02-07,2025-01-09,1,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00120,TechNova Solutions,IT,Cloud Infrastructure,2045.77,2025-09-27,2025-11-26,2025-10-09,12,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00121,NetSecure Inc,HR,Security Service,3717.09,2025-11-11,2025-12-11,2025-11-20,9,30,False,False,False,False,Medium,Missing purchase order,Request missing information
INV-00122,OfficePlus Group,Operations,Logistics,28938.77,2025-07-25,2025-09-23,2025-07-26,1,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00123,Alpha Consulting,Finance,Software License,10002.3,2025-03-06,2025-03-21,2025-03-09,3,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00124,NetSecure Inc,Operations,Security Service,16151.43,2025-02-20,2025-04-21,2025-02-28,8,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00125,FinEdge Services,Operations,Office Supplies,26698.69,2025-08-21,2025-10-05,2025-08-28,7,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00126,NetSecure Inc,Risk Management,Cloud Infrastructure,11541.88,2025-02-04,2025-04-05,2025-02-07,3,60,False,False,False,False,Medium,Missing purchase order,Request missing information
INV-00127,NetSecure Inc,IT,Security Service,2269.44,2025-03-04,2025-04-18,2025-03-13,9,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00128,GreenLogix,Risk Management,Software License,29067.76,2025-06-30,2025-08-14,2025-07-10,10,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00129,Alpha Consulting,IT,Software License,10828.36,2025-02-28,2025-04-14,2025-03-09,9,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00130,TechNova Solutions,HR,Logistics,24969.09,2025-04-03,2025-04-18,2025-04-08,5,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00131,NetSecure Inc,Finance,Consulting Service,26160.95,2025-02-05,2025-04-06,2025-02-15,10,60,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00132,FinEdge Services,Operations,Office Supplies,13882.55,2025-06-09,2025-07-24,2025-06-12,3,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00133,CloudBridge Ltd,Finance,Consulting Service,5143.59,2025-02-11,2025-02-26,2025-02-21,10,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00134,Alpha Consulting,Operations,Cloud Infrastructure,6859.28,2025-06-26,2025-07-11,2025-07-05,9,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00135,Alpha Consulting,HR,Logistics,9598.37,2025-11-03,2026-01-02,2025-11-07,4,60,False,False,False,False,Medium,Missing purchase order,Request missing information
INV-00136,DataCore Systems,Procurement,Cloud Infrastructure,10179.61,2025-08-09,2025-10-08,2025-08-10,1,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00137,NetSecure Inc,Finance,Office Supplies,25922.05,2025-01-10,2025-03-11,2025-01-11,1,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00138,GreenLogix,HR,Office Supplies,21430.22,2025-02-28,2025-04-14,2025-03-07,7,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00139,Alpha Consulting,Risk Management,Cloud Infrastructure,3099.83,2025-05-05,2025-05-20,2025-05-19,14,15,True,False,True,True,High,Vendor delay history with SLA breach,Send for manual review
INV-00140,OfficePlus Group,Risk Management,Cloud Infrastructure,7036.38,2025-02-09,2025-03-11,2025-02-22,13,30,True,False,False,True,Medium,SLA approval deadline exceeded,Request additional validation
INV-00141,NetSecure Inc,Procurement,Logistics,28767.59,2025-05-01,2025-05-31,2025-05-12,11,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00142,DataCore Systems,Risk Management,Software License,5725.81,2025-08-26,2025-10-25,2025-09-08,13,60,True,False,False,True,Medium,SLA approval deadline exceeded,Request additional validation
INV-00143,NetSecure Inc,Risk Management,Cloud Infrastructure,4953.24,2025-08-15,2025-10-14,2025-08-17,2,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00144,NetSecure Inc,HR,Software License,9657.03,2025-01-30,2025-02-14,2025-02-07,8,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00145,CloudBridge Ltd,HR,Security Service,15458.5,2025-08-19,2025-09-03,2025-08-27,8,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00146,Alpha Consulting,HR,Consulting Service,28752.81,2025-06-25,2025-07-10,2025-07-03,8,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00147,TechNova Solutions,IT,Logistics,13413.87,2025-07-06,2025-08-05,2025-07-14,8,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00148,NetSecure Inc,Risk Management,Security Service,2044.78,2025-02-03,2025-03-20,2025-02-14,11,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00149,OfficePlus Group,Risk Management,Logistics,28950.1,2025-06-20,2025-07-20,2025-06-30,10,30,False,False,False,False,High,High amount with missing purchase order,Send for manual review
INV-00150,OfficePlus Group,Risk Management,Logistics,20032.99,2025-06-08,2025-06-23,2025-06-11,3,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00151,DataCore Systems,Risk Management,Logistics,24954.29,2025-11-27,2025-12-12,2025-12-09,12,15,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00152,OfficePlus Group,IT,Consulting Service,10581.1,2025-04-09,2025-06-08,2025-04-22,13,60,True,False,True,True,High,Vendor delay history with SLA breach,Send for manual review
INV-00153,CloudBridge Ltd,HR,Security Service,25136.03,2025-06-22,2025-07-07,2025-07-07,15,15,True,False,False,True,Medium,SLA approval deadline exceeded,Request additional validation
INV-00154,DataCore Systems,IT,Consulting Service,25024.68,2025-08-13,2025-09-12,2025-08-26,13,30,False,False,False,True,High,High amount with missing purchase order,Send for manual review
INV-00155,Alpha Consulting,HR,Cloud Infrastructure,22695.54,2025-04-30,2025-06-29,2025-05-13,13,60,True,False,False,True,Medium,SLA approval deadline exceeded,Request additional validation
INV-00156,Alpha Consulting,IT,Cloud Infrastructure,20510.05,2025-08-25,2025-10-24,2025-09-04,10,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00157,GreenLogix,IT,Consulting Service,24137.15,2025-01-27,2025-03-13,2025-01-30,3,45,True,False,False,False,Low,No risk detected,Approve for payment
INV-00158,CloudBridge Ltd,Risk Management,Security Service,25609.4,2025-03-24,2025-04-08,2025-03-29,5,15,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00159,GreenLogix,Finance,Consulting Service,24592.75,2025-01-14,2025-02-28,2025-01-29,15,45,True,False,False,True,Medium,SLA approval deadline exceeded,Request additional validation
INV-00160,GreenLogix,Finance,Cloud Infrastructure,7123.89,2025-06-21,2025-07-06,2025-06-27,6,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00161,Alpha Consulting,Risk Management,Consulting Service,22885.81,2025-11-12,2026-01-11,2025-11-20,8,60,False,False,False,False,High,High amount with missing purchase order,Send for manual review
INV-00162,DataCore Systems,HR,Logistics,18461.96,2025-05-28,2025-06-12,2025-06-04,7,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00163,Alpha Consulting,Finance,Software License,25182.29,2025-11-20,2025-12-05,2025-11-28,8,15,True,False,True,False,Medium,Vendor has previous delays,Request additional validation
INV-00164,GreenLogix,Finance,Security Service,10908.07,2025-04-06,2025-06-05,2025-04-16,10,60,True,False,False,False,Low,No risk detected,Approve for payment
INV-00165,CloudBridge Ltd,HR,Security Service,15466.17,2025-07-19,2025-08-03,2025-07-28,9,15,True,True,False,False,High,Duplicate invoice detected,Escalate to manager
INV-00166,NetSecure Inc,Procurement,Logistics,979.15,2025-06-26,2025-07-11,2025-07-09,13,15,True,False,True,True,High,Vendor delay history with SLA breach,Send for manual review
INV-00167,NetSecure Inc,IT,Software License,10892.82,2025-08-26,2025-09-25,2025-09-01,6,30,True,False,False,False,Low,No risk detected,Approve for payment
INV-00168,DataCore Systems,Finance,Logistics,23397.62,2025-05-31,2025-06-15,2025-06-08,8,15,True,False,False,False,Low,No risk detected,Approve for payment
INV-00169,NetSecure Inc,Procurement,Security Service,12247.61,2025-05-10,2025-07-09,2025-05-24,14,60,False,False,False,True,Medium,Missing purchase order,Request missing information
