invoice_id,vendor,department,invoice_type,amount,submitted_date,due_date,approved_date,approval_days,payment_terms_days,has_purchase_order,duplicate_flag,vendor_delay_history,sla_breached,risk_level,risk_reason,next_best_action,days_until_due,approval_delay_flag,amount_category
INV-00053,Alpha Consulting,Operations,Cloud Infrastructure,18819.24,2025-11-17,2026-01-16,2025-11-26,9,60,1,0,0,0,Low,No risk detected,Approve for payment,60,0,Large
INV-00054,CloudBridge Ltd,Risk Management,Cloud Infrastructure,5938.89,2025-10-04,2025-11-18,2025-10-15,11,45,1,0,0,1,Low,No risk detected,Escalate to manager,45,1,Medium
INV-00055,FinEdge Services,Operations,Logistics,3904.85,2025-08-01,2025-08-16,2025-08-08,7,15,0,0,1,0,Medium,Missing purchase order,Request missing information,15,0,Medium
INV-00056,Alpha Consulting,Operations,Software License,5250.18,2025-10-27,2025-12-26,2025-11-10,14,60,1,1,0,1,High,Duplicate invoice detected,Escalate to manager,60,1,Medium
INV-00057,TechNova Solutions,Procurement,Cloud Infrastructure,18861.53,2025-09-07,2025-10-07,2025-09-21,14,30,1,0,0,1,Low,No risk detected,Escalate to manager,30,1,Large
INV-00058,Alpha Consulting,Finance,Office Supplies,8469.63,2025-08-28,2025-09-27,2025-09-10,13,30,1,0,0,1,Low,No risk detected,Escalate to manager,30,1,Medium
INV-00059,TechNova Solutions,Finance,Logistics,10772.46,2025-01-26,2025-02-25,2025-02-10,15,30,1,1,0,1,High,Duplicate invoice detected,Escalate to manager,30,1,Large
INV-00060,FinEdge Services,Operations,Cloud Infrastructure,8503.76,2025-08-04,2025-09-18,2025-08-17,13,45,1,0,0,1,Low,No risk detected,Escalate to manager,45,1,Medium
INV-00061,TechNova Solutions,Risk Management,Security Service,1396.93,2025-02-05,2025-03-07,2025-02-17,12,30,1,0,0,1,Low,No risk detected,Escalate to manager,30,1,Medium
INV-00062,FinEdge Services,Finance,Security Service,3894.32,2025-02-28,2025-04-29,2025-03-05,5,60,1,1,1,0,High,Duplicate invoice detected,Send for manual review,60,0,Medium
INV-00063,OfficePlus Group,Procurement,Consulting Service,15186.73,2025-06-09,2025-07-09,2025-06-13,4,30,1,0,0,0,Low,No risk detected,Approve for payment,30,0,Large
INV-00064,GreenLogix,Operations,Logistics,5038.41,2025-02-22,2025-03-24,2025-03-13,19,30,1,0,1,1,Medium,Vendor has previous delays,Escalate to manager,30,1,Medium
INV-00065,TechNova Solutions,Procurement,Security Service,10766.61,2025-09-17,2025-10-02,2025-09-29,12,15,1,0,0,1,Low,No risk detected,Escalate to manager,15,1,Large
INV-00066,Alpha Consulting,Finance,Office Supplies,24023.61,2025-08-11,2025-09-10,2025-08-26,15,30,1,0,1,1,Medium,Vendor has previous delays,Escalate to manager,30,1,Large
INV-00067,Alpha Consulting,Operations,Office Supplies,20660.79,2025-06-15,2025-07-30,2025-07-04,19,45,1,0,0,1,Low,No risk detected,Escalate to manager,45,1,Large
INV-00068,Alpha Consulting,IT,Office Supplies,14289.26,2025-01-15,2025-03-01,2025-01-28,13,45,0,0,0,1,Medium,Missing purchase order,Escalate to manager,45,1,Large
INV-00069,Alpha Consulting,IT,Cloud Infrastructure,19966.03,2025-11-02,2025-12-17,2025-11-13,11,45,1,0,1,1,Medium,Vendor has previous delays,Escalate to manager,45,1,Large
INV-00070,FinEdge Services,Finance,Consulting Service,18029.86,2025-09-01,2025-10-01,2025-09-17,16,30,0,1,0,1,High,Duplicate invoice detected,Escalate to manager,30,1,Large
INV-00071,CloudBridge Ltd,Procurement,Consulting Service,10169.59,2025-10-25,2025-12-09,2025-11-02,8,45,1,1,1,0,High,Duplicate invoice detected,Send for manual review,45,0,Large
INV-00072,NetSecure Inc,Operations,Logistics,13804.67,2025-05-19,2025-07-18,2025-05-31,12,60,1,0,0,1,Low,No risk detected,Escalate to manager,60,1,Large
INV-00073,CloudBridge Ltd,Risk Management,Consulting Service,7957.14,2025-04-09,2025-05-09,2025-04-27,18,30,1,1,0,1,High,Duplicate invoice detected,Escalate to manager,30,1,Medium
INV-00074,OfficePlus Group,Finance,Consulting Service,7476.54,2025-06-04,2025-07-04,2025-06-16,12,30,1,0,0,1,Low,No risk detected,Escalate to manager,30,1,Medium
INV-00075,TechNova Solutions,Finance,Security Service,7374.2,2025-02-22,2025-04-23,2025-02-27,5,60,1,0,0,0,Low,No risk detected,Approve for payment,60,0,Medium
INV-00076,Alpha Consulting,Operations,Cloud Infrastructure,4690.66,2025-09-02,2025-10-17,2025-09-04,2,45,1,0,0,0,Low,No risk detected,Approve for payment,45,0,Medium
INV-00077,Alpha Consulting,Finance,Security Service,15773.2,2025-03-18,2025-04-17,2025-03-20,2,30,1,0,0,0,Low,No risk detected,Approve for payment,30,0,Large
INV-00078,CloudBridge Ltd,HR,Office Supplies,15197.31,2025-09-25,2025-10-25,2025-10-15,20,30,0,1,0,1,High,Duplicate invoice detected,Escalate to manager,30,1,Large
INV-00079,OfficePlus Group,HR,Office Supplies,7703.97,2025-11-09,2025-11-24,2025-11-29,20,15,1,0,1,1,Medium,Vendor has previous delays,Escalate to manager,15,1,Medium
INV-00080,FinEdge Services,Procurement,Logistics,2121.57,2025-10-10,2025-11-09,2025-10-18,8,30,1,0,0,0,Low,No risk detected,Approve for payment,30,0,Medium
INV-00081,GreenLogix,Operations,Logistics,14885.9,2025-04-29,2025-05-14,2025-05-09,10,15,1,0,1,0,Medium,Vendor has previous delays,Request missing information,15,0,Large
INV-00082,Alpha Consulting,Finance,Logistics,5912.25,2025-08-06,2025-09-05,2025-08-15,9,30,1,0,1,0,Medium,Vendor has previous delays,Request missing information,30,0,Medium
INV-00083,DataCore Systems,Procurement,Consulting Service,1878.1,2025-11-01,2025-12-16,2025-11-07,6,45,1,1,0,0,High,Duplicate invoice detected,Send for manual review,45,0,Medium
INV-00084,Alpha Consulting,Risk Management,Cloud Infrastructure,17523.37,2025-08-13,2025-10-12,2025-08-22,9,60,1,0,0,0,Low,No risk detected,Approve for payment,60,0,Large
INV-00085,NetSecure Inc,HR,Cloud Infrastructure,744.04,2025-05-18,2025-06-02,2025-05-26,8,15,1,0,0,0,Low,No risk detected,Approve for payment,15,0,Small
INV-00086,Alpha Consulting,Procurement,Consulting Service,24923.94,2025-02-16,2025-04-17,2025-03-02,14,60,0,0,0,1,High,Amount exceeds approval limit,Escalate to manager,60,1,Large
INV-00087,NetSecure Inc,Procurement,Logistics,2704.54,2025-07-30,2025-09-13,2025-08-05,6,45,0,0,1,0,Medium,Missing purchase order,Request missing information,45,0,Medium
INV-00088,GreenLogix,HR,Software License,11425.17,2025-06-15,2025-07-30,2025-06-26,11,45,1,1,1,1,High,Duplicate invoice detected,Escalate to manager,45,1,Large
INV-00089,TechNova Solutions,Risk Management,Security Service,11603.21,2025-09-23,2025-10-23,2025-09-25,2,30,1,1,1,0,High,Duplicate invoice detected,Send for manual review,30,0,Large
INV-00090,Alpha Consulting,Finance,Consulting Service,6749.7,2025-08-13,2025-09-27,2025-08-18,5,45,0,0,0,0,Medium,Missing purchase order,Request missing information,45,0,Medium
INV-00091,FinEdge Services,Risk Management,Consulting Service,7837.68,2025-02-17,2025-04-18,2025-02-18,1,60,1,0,0,0,Low,No risk detected,Approve for payment,60,0,Medium
INV-00092,CloudBridge Ltd,Risk Management,Consulting Service,12509.55,2025-08-01,2025-09-15,2025-08-11,10,45,0,1,0,0,High,Duplicate invoice detected,Send for manual review,45,0,Large
INV-00093,Alpha Consulting,HR,Consulting Service,9651.29,2025-02-05,2025-03-07,2025-02-25,20,30,1,1,0,1,High,Duplicate invoice detected,Escalate to manager,30,1,Medium
INV-00094,OfficePlus Group,Finance,Cloud Infrastructure,18178.67,2025-03-18,2025-05-17,2025-04-06,19,60,0,1,0,1,High,Duplicate invoice detected,Escalate to manager,60,1,Large
INV-00095,NetSecure Inc,HR,Security Service,9492.53,2025-05-03,2025-06-02,2025-05-14,11,30,0,0,0,1,Medium,Missing purchase order,Escalate to manager,30,1,Medium
INV-00096,TechNova Solutions,Procurement,Logistics,11877.11,2025-03-19,2025-05-18,2025-04-01,13,60,0,0,0,1,Medium,Missing purchase order,Escalate to manager,60,1,Large
INV-00097,NetSecure Inc,Finance,Office Supplies,2582.82,2025-03-15,2025-03-30,2025-03-30,15,15,0,0,0,1,Medium,Missing purchase order,Escalate to manager,15,1,Medium
INV-00098,Alpha Consulting,Procurement,Cloud Infrastructure,15619.16,2025-06-18,2025-07-03,2025-07-01,13,15,0,0,1,1,High,Amount exceeds approval limit,Escalate to manager,15,1,Large
INV-00099,Alpha Consulting,HR,Software License,15474.74,2025-04-27,2025-06-11,2025-05-05,8,45,1,1,0,0,High,Duplicate invoice detected,Send for manual review,45,0,Large
INV-00100,CloudBridge Ltd,Operations,Consulting Service,17380.63,2025-06-16,2025-07-01,2025-06-17,1,15,1,0,0,0,Low,No risk detected,Approve for payment,15,0,Large
INV-00101,NetSecure Inc,Operations,Consulting Service,6180.52,2025-03-29,2025-04-28,2025-04-12,14,30,1,0,1,1,Medium,Vendor has previous delays,Escalate to manager,30,1,Medium
INV-00102,GreenLogix,HR,Logistics,6096.66,2025-04-29,2025-05-29,2025-05-18,19,30,0,0,0,1,Medium,Missing purchase order,Escalate to manager,30,1,Medium
INV-00103,OfficePlus Group,Risk Management,Software License,22482.82,2025-10-07,2025-11-21,2025-10-22,15,45,1,0,0,1,Low,No risk detected,Escalate to manager,45,1,Large
INV-00104,NetSecure Inc,HR,Cloud Infrastructure,16009.57,2025-08-22,2025-10-06,2025-09-05,14,45,1,0,0,1,Low,No risk detected,Escalate to manager,45,1,Large
INV-00105,Alpha Consulting,Finance,Consulting Service,9595.97,2025-06-01,2025-07-16,2025-06-13,12,45,1,1,0,1,High,Duplicate invoice detected,Escalate to manager,45,1,Medium
INV-00106,TechNova Solutions,HR,Logistics,19479.96,2025-05-27,2025-07-26,2025-05-29,2,60,1,0,0,0,Low,No risk detected,Approve for payment,60,0,Large
INV-00107,FinEdge Services,HR,Cloud Infrastructure,16976.34,2025-11-18,2025-12-03,2025-11-23,5,15,1,0,0,0,Low,No risk detected,Approve for payment,15,0,Large
INV-00108,TechNova Solutions,HR,Cloud Infrastructure,18335.76,2025-06-17,2025-08-01,2025-06-20,3,45,0,0,0,0,High,Amount exceeds approval limit,Send for manual review,45,0,Large
INV-00109,DataCore Systems,HR,Cloud Infrastructure,13318.22,2025-05-12,2025-06-11,2025-05-21,9,30,0,0,1,0,Medium,Missing purchase order,Request missing information,30,0,Large
INV-00110,NetSecure Inc,Finance,Office Supplies,24076.04,2025-07-23,2025-08-22,2025-07-28,5,30,1,0,0,0,Low,No risk detected,Approve for payment,30,0,Large
INV-00111,TechNova Solutions,Procurement,Security Service,3177.36,2025-10-27,2025-12-11,2025-11-08,12,45,0,0,0,1,Medium,Missing purchase order,Escalate to manager,45,1,Medium
INV-00112,FinEdge Services,Operations,Software License,15526.72,2025-11-09,2025-12-24,2025-11-27,18,45,1,0,1,1,Medium,Vendor has previous delays,Escalate to manager,45,1,Large
INV-00113,Alpha Consulting,Risk Management,Cloud Infrastructure,16266.06,2025-01-24,2025-02-23,2025-01-28,4,30,1,0,0,0,Low,No risk detected,Approve for payment,30,0,Large
INV-00114,CloudBridge Ltd,Finance,Consulting Service,22192.76,2025-08-21,2025-10-20,2025-08-26,5,60,1,1,1,0,High,Duplicate invoice detected,Send for manual review,60,0,Large
INV-00115,DataCore Systems,Operations,Logistics,2565.64,2025-05-24,2025-07-23,2025-06-09,16,60,1,0,0,1,Low,No risk detected,Escalate to manager,60,1,Medium
INV-00116,Alpha Consulting,Operations,Consulting Service,21400.71,2025-10-06,2025-11-20,2025-10-10,4,45,1,0,0,0,Low,No risk detected,Approve for payment,45,0,Large
INV-00117,OfficePlus Group,IT,Software License,23730.37,2025-04-19,2025-05-04,2025-05-04,15,15,1,0,0,1,Low,No risk detected,Escalate to manager,15,1,Large
INV-00118,FinEdge Services,IT,Security Service,5209.62,2025-10-28,2025-11-27,2025-11-15,18,30,1,0,0,1,Low,No risk detected,Escalate to manager,30,1,Medium
INV-00119,DataCore Systems,HR,Software License,7004.14,2025-10-04,2025-11-03,2025-10-09,5,30,1,0,0,0,Low,No risk detected,Approve for payment,30,0,Medium
INV-00120,TechNova Solutions,IT,Software License,9020.23,2025-01-09,2025-02-23,2025-01-17,8,45,1,0,0,0,Low,No risk detected,Approve for payment,45,0,Medium
INV-00121,DataCore Systems,Risk Management,Office Supplies,13199.53,2025-08-18,2025-10-17,2025-08-21,3,60,1,0,0,0,Low,No risk detected,Approve for payment,60,0,Large
INV-00122,FinEdge Services,HR,Software License,18208.35,2025-08-23,2025-10-07,2025-09-09,17,45,1,0,0,1,Low,No risk detected,Escalate to manager,45,1,Large
INV-00123,GreenLogix,Operations,Logistics,2788.25,2025-02-11,2025-02-26,2025-02-26,15,15,1,0,0,1,Low,No risk detected,Escalate to manager,15,1,Medium
INV-00124,DataCore Systems,Procurement,Security Service,15863.61,2025-07-15,2025-08-29,2025-08-02,18,45,1,1,1,1,High,Duplicate invoice detected,Escalate to manager,45,1,Large
INV-00125,GreenLogix,Finance,Logistics,2948.91,2025-08-09,2025-09-08,2025-08-27,18,30,0,0,0,1,Medium,Missing purchase order,Escalate to manager,30,1,Medium
INV-00126,NetSecure Inc,Operations,Office Supplies,10458.14,2025-08-07,2025-09-21,2025-08-11,4,45,1,0,0,0,Low,No risk detected,Approve for payment,45,0,Large
INV-00127,DataCore Systems,Risk Management,Office Supplies,1771.62,2025-08-10,2025-08-25,2025-08-13,3,15,1,0,0,0,Low,No risk detected,Approve for payment,15,0,Medium
INV-00128,TechNova Solutions,HR,Security Service,14085.92,2025-07-01,2025-08-30,2025-07-05,4,60,0,0,0,0,Medium,Missing purchase order,Request missing information,60,0,Large
INV-00129,OfficePlus Group,Procurement,Software License,14490.17,2025-09-04,2025-10-04,2025-09-11,7,30,1,0,0,0,Low,No risk detected,Approve for payment,30,0,Large
INV-00130,NetSecure Inc,Finance,Cloud Infrastructure,14395.09,2025-11-08,2025-11-23,2025-11-22,14,15,1,0,0,1,Low,No risk detected,Escalate to manager,15,1,Large
INV-00131,OfficePlus Group,Risk Management,Cloud Infrastructure,23046.28,2025-04-03,2025-04-18,2025-04-15,12,15,1,1,0,1,High,Duplicate invoice detected,Escalate to manager,15,1,Large
INV-00132,DataCore Systems,Risk Management,Logistics,24298.08,2025-07-12,2025-08-11,2025-07-15,3,30,0,1,0,0,High,Duplicate invoice detected,Send for manual review,30,0,Large
INV-00133,DataCore Systems,Procurement,Cloud Infrastructure,18067.74,2025-01-27,2025-02-11,2025-02-15,19,15,1,0,1,1,Medium,Vendor has previous delays,Escalate to manager,15,1,Large
INV-00134,TechNova Solutions,Risk Management,Software License,6875.36,2025-11-07,2026-01-06,2025-11-21,14,60,0,1,0,1,High,Duplicate invoice detected,Escalate to manager,60,1,Medium
INV-00135,FinEdge Services,HR,Software License,8694.8,2025-10-31,2025-12-15,2025-11-04,4,45,0,0,0,0,Medium,Missing purchase order,Request missing information,45,0,Medium
INV-00136,FinEdge Services,Operations,Security Service,1464.07,2025-04-19,2025-06-03,2025-04-26,7,45,1,0,0,0,Low,No risk detected,Approve for payment,45,0,Medium
INV-00137,NetSecure Inc,Finance,Software License,12484.89,2025-03-08,2025-04-07,2025-03-22,14,30,0,0,1,1,Medium,Missing purchase order,Escalate to manager,30,1,Large
INV-00138,NetSecure Inc,Finance,Office Supplies,21557.93,2025-01-10,2025-03-11,2025-01-12,2,60,0,0,0,0,High,Amount exceeds approval limit,Send for manual review,60,0,Large
INV-00139,GreenLogix,HR,Office Supplies,17766.52,2025-02-28,2025-04-14,2025-03-14,14,45,0,0,0,1,High,Amount exceeds approval limit,Escalate to manager,45,1,Large
INV-00140,DataCore Systems,HR,Office Supplies,20817.45,2025-08-12,2025-08-27,2025-08-24,12,15,1,0,0,1,Low,No risk detected,Escalate to manager,15,1,Large
INV-00141,GreenLogix,HR,Software License,9954.59,2025-04-24,2025-06-08,2025-05-04,10,45,1,0,0,0,Low,No risk detected,Approve for payment,45,0,Medium
INV-00142,CloudBridge Ltd,HR,Security Service,4928.2,2025-11-27,2026-01-11,2025-12-09,12,45,1,0,0,1,Low,No risk detected,Escalate to manager,45,1,Medium
INV-00143,DataCore Systems,Procurement,Consulting Service,4420.13,2025-04-01,2025-04-16,2025-04-06,5,15,0,1,1,0,High,Duplicate invoice detected,Send for manual review,15,0,Medium
INV-00144,Alpha Consulting,Risk Management,Security Service,16110.5,2025-11-18,2026-01-02,2025-12-08,20,45,1,0,0,1,Low,No risk detected,Escalate to manager,45,1,Large
INV-00145,CloudBridge Ltd,Operations,Office Supplies,15821.49,2025-06-30,2025-07-15,2025-07-09,9,15,1,0,0,0,Low,No risk detected,Approve for payment,15,0,Large
INV-00146,Alpha Consulting,Finance,Software License,9281.57,2025-11-27,2025-12-12,2025-12-07,10,15,1,1,0,0,High,Duplicate invoice detected,Send for manual review,15,0,Medium
INV-00147,TechNova Solutions,Operations,Security Service,16330.75,2025-09-14,2025-11-13,2025-09-25,11,60,1,0,0,1,Low,No risk detected,Escalate to manager,60,1,Large
INV-00148,CloudBridge Ltd,Procurement,Logistics,2199.8,2025-05-07,2025-05-22,2025-05-13,6,15,0,1,1,0,High,Duplicate invoice detected,Send for manual review,15,0,Medium
INV-00149,DataCore Systems,Procurement,Cloud Infrastructure,22956.63,2025-06-23,2025-08-22,2025-07-06,13,60,1,0,0,1,Low,No risk detected,Escalate to manager,60,1,Large
INV-00150,NetSecure Inc,Finance,Security Service,16991.65,2025-11-05,2025-12-20,2025-11-15,10,45,1,0,0,0,Low,No risk detected,Approve for payment,45,0,Large
INV-00151,DataCore Systems,Procurement,Cloud Infrastructure,24195.64,2025-11-01,2025-12-01,2025-11-14,13,30,1,0,1,1,Medium,Vendor has previous delays,Escalate to manager,30,1,Large
INV-00152,GreenLogix,Risk Management,Cloud Infrastructure,20348.3,2025-11-27,2025-12-12,2025-12-14,17,15,0,0,0,1,High,Amount exceeds approval limit,Escalate to manager,15,1,Large
INV-00153,NetSecure Inc,Procurement,Consulting Service,23784.12,2025-04-09,2025-06-08,2025-04-20,11,60,1,0,0,1,Low,No risk detected,Escalate to manager,60,1,Large
